,regNo,officeName,address,officeRep,officeMemberTitle,officeMemberType,officeMemberName
0,11200-2015-00085,신화공인중개사사무소,서울특별시 중구 퇴계로 217 1층 31호(충무로4가),고태선,일반,중개보조원,문상진
1,법92220000-35,주식회사부곡드림개발부동산중개법인,서울특별시 중구 퇴계로 235 109호(충무로4가),이기창,일반,공인중개사,권희안
2,92260000-1046,충무로공인중개사사무소,"서울특별시 중구 퇴계로 217 29호, 30호",전봉수,일반,중개보조원,박순덕
3,공92220000-2237,하나로공인중개사사무소,"서울특별시 중구 퇴계로 217 1층 6호/35호(진양상가, 충무로4가)",김용태,일반,중개보조원,김진분
4,공92220000-2237,하나로공인중개사사무소,"서울특별시 중구 퇴계로 217 1층 6호/35호(진양상가, 충무로4가)",김용태,일반,중개보조원,김경진
5,공92220000-2237,하나로공인중개사사무소,"서울특별시 중구 퇴계로 217 1층 6호/35호(진양상가, 충무로4가)",김용태,일반,공인중개사,장희정
